ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS16220676,W11380825,Maytag Refrigerator CORD-POWER,Whirlpool,refrigerator,92.59,False,,,,https://www.partselect.com/PS16220676-Whirlpool-W11380825-CORD-POWER.htm
PS3418623,W10346235,Maytag Refrigerator DOOR-CHUTE,Whirlpool,refrigerator,104.16,False,,,,https://www.partselect.com/PS3418623-Whirlpool-W10346235-DOOR-CHUTE.htm
PS2355376,W10203322,Maytag Refrigerator DEFLECTOR,Whirlpool,refrigerator,50.99,False,,,,https://www.partselect.com/PS2355376-Whirlpool-W10203322-DEFLECTOR.htm
PS8711929,00416133,Thermador Refrigerator SWITCH,Bosch,refrigerator,82.29,True,,,,https://www.partselect.com/PS8711929-Bosch-00416133-SWITCH.htm
PS8697634,00174364,Thermador Refrigerator SWITCH,Bosch,refrigerator,11.06,False,,,,https://www.partselect.com/PS8697634-Bosch-00174364-SWITCH.htm
PS8711778,00415982,Thermador Refrigerator SWITCH,Bosch,refrigerator,118.38,False,,,,https://www.partselect.com/PS8711778-Bosch-00415982-SWITCH.htm
PS11739762,WP2220457,Thermador Refrigerator Ice Bin Coupling,Whirlpool,refrigerator,26.72,True,4.7,13,Really Easy,https://www.partselect.com/PS11739762-Whirlpool-WP2220457-Ice-Bin-Coupling.htm
PS11740390,WP2318082,Thermador Refrigerator Ice Ejector Bar,Whirlpool,refrigerator,71.48,True,5.0,1,,https://www.partselect.com/PS11740390-Whirlpool-WP2318082-Ice-Ejector-Bar.htm
PS2378115,W10297244,Thermador Refrigerator Stripper Arm Kit,Whirlpool,refrigerator,50.33,True,4.9,8,Easy,https://www.partselect.com/PS2378115-Whirlpool-W10297244-Stripper-Arm-Kit.htm
PS11739011,WP2176759,Thermador Refrigerator Fan Grommet,Whirlpool,refrigerator,10.07,True,5.0,2,Easy,https://www.partselect.com/PS11739011-Whirlpool-WP2176759-Fan-Grommet.htm
PS11745619,WP8281164,Thermador Refrigerator Screw,Whirlpool,refrigerator,13.37,True,4.0,2,Really Easy,https://www.partselect.com/PS11745619-Whirlpool-WP8281164-Screw.htm
PS11745618,WP8281163,Thermador Refrigerator Screw,Whirlpool,refrigerator,13.33,True,,,Really Easy,https://www.partselect.com/PS11745618-Whirlpool-WP8281163-Screw.htm
PS11739193,WP2195051,Thermador Refrigerator Strain Relief,Whirlpool,refrigerator,9.8,True,5.0,1,Really Easy,https://www.partselect.com/PS11739193-Whirlpool-WP2195051-Strain-Relief.htm
